order_id,shipping_limit_date,order_delivered_carrier_date,late_delivery,delay_days
01b276e7af1d9e3ed34b431d39f45fa1,2018-01-22 19:37:27,2018-01-22 19:38:03,True,0.0
01ba82170ebb683c73793bb809bbf1b9,2018-02-20 15:11:35,2018-02-22 16:26:55,True,2.0
01ba82170ebb683c73793bb809bbf1b9,2018-02-20 15:11:35,2018-02-22 16:26:55,True,2.0
01ba82170ebb683c73793bb809bbf1b9,2018-02-20 15:11:35,2018-02-22 16:26:55,True,2.0
01c18108db50c163daf7dfe461093fb7,2017-06-30 18:05:15,2017-07-03 14:36:50,True,2.0
01c998b70e420ec36563386a4b71c6bc,2018-01-29 13:57:28,2018-01-29 19:04:09,True,0.0
01d3d4cb8c553d507dfd26fbd8b41e95,2017-11-09 15:10:11,2017-11-10 00:22:00,True,0.0
01d90c5856f7551e108f2a0864ff6e54,2018-07-04 02:55:13,2018-07-04 21:48:00,True,0.0
01e0386aae6c6385feedb58bd4aae5c7,2017-11-30 00:52:45,2017-11-30 21:03:45,True,0.0
01e7138289b75d9624b04dfe12379c1d,2018-02-07 20:14:01,2018-02-07 21:21:45,True,0.0
01e7138289b75d9624b04dfe12379c1d,2018-02-07 20:14:01,2018-02-07 21:21:45,True,0.0
01eb154e5aa06eaf50851577302a04a5,2018-04-05 11:55:35,2018-04-05 14:42:45,True,0.0
01f7d29898cf7c5fcb583a2a29508202,2017-12-15 01:19:24,2017-12-15 15:12:07,True,0.0
0207f5a2635f4e2d29acd00fc01a36ba,2018-03-09 10:35:48,2018-03-13 23:08:41,True,4.0
020d1063c6e7cb975472aedbfe0e25ea,2018-02-08 00:28:10,2018-02-17 02:08:02,True,9.0
